date,year,month,quarter,weekday
4/23/2023,2023,Apr,Q2,Sunday
4/24/2023,2023,Apr,Q2,Monday
4/25/2023,2023,Apr,Q2,Tuesday
4/26/2023,2023,Apr,Q2,Wednesday
4/27/2023,2023,Apr,Q2,Thursday
4/28/2023,2023,Apr,Q2,Friday
4/29/2023,2023,Apr,Q2,Saturday
4/30/2023,2023,Apr,Q2,Sunday
5/1/2023,2023,May,Q2,Monday
5/2/2023,2023,May,Q2,Tuesday
5/3/2023,2023,May,Q2,Wednesday
5/4/2023,2023,May,Q2,Thursday
5/5/2023,2023,May,Q2,Friday
5/6/2023,2023,May,Q2,Saturday
5/7/2023,2023,May,Q2,Sunday
5/8/2023,2023,May,Q2,Monday
5/9/2023,2023,May,Q2,Tuesday
5/10/2023,2023,May,Q2,Wednesday
5/11/2023,2023,May,Q2,Thursday
5/12/2023,2023,May,Q2,Friday
5/13/2023,2023,May,Q2,Saturday
5/14/2023,2023,May,Q2,Sunday
5/15/2023,2023,May,Q2,Monday
5/16/2023,2023,May,Q2,Tuesday
5/17/2023,2023,May,Q2,Wednesday
5/18/2023,2023,May,Q2,Thursday
5/19/2023,2023,May,Q2,Friday
5/20/2023,2023,May,Q2,Saturday
5/21/2023,2023,May,Q2,Sunday
5/22/2023,2023,May,Q2,Monday
5/23/2023,2023,May,Q2,Tuesday
5/24/2023,2023,May,Q2,Wednesday
5/25/2023,2023,May,Q2,Thursday
5/26/2023,2023,May,Q2,Friday
5/27/2023,2023,May,Q2,Saturday
5/28/2023,2023,May,Q2,Sunday
5/29/2023,2023,May,Q2,Monday
5/30/2023,2023,May,Q2,Tuesday
5/31/2023,2023,May,Q2,Wednesday
6/1/2023,2023,Jun,Q2,Thursday
6/2/2023,2023,Jun,Q2,Friday
6/3/2023,2023,Jun,Q2,Saturday
6/4/2023,2023,Jun,Q2,Sunday
6/5/2023,2023,Jun,Q2,Monday
6/6/2023,2023,Jun,Q2,Tuesday
6/7/2023,2023,Jun,Q2,Wednesday
6/8/2023,2023,Jun,Q2,Thursday
6/9/2023,2023,Jun,Q2,Friday
6/10/2023,2023,Jun,Q2,Saturday
6/11/2023,2023,Jun,Q2,Sunday
6/12/2023,2023,Jun,Q2,Monday
6/13/2023,2023,Jun,Q2,Tuesday
6/14/2023,2023,Jun,Q2,Wednesday
6/15/2023,2023,Jun,Q2,Thursday
6/16/2023,2023,Jun,Q2,Friday
6/17/2023,2023,Jun,Q2,Saturday
6/18/2023,2023,Jun,Q2,Sunday
6/19/2023,2023,Jun,Q2,Monday
6/20/2023,2023,Jun,Q2,Tuesday
6/21/2023,2023,Jun,Q2,Wednesday
6/22/2023,2023,Jun,Q2,Thursday
6/23/2023,2023,Jun,Q2,Friday
6/24/2023,2023,Jun,Q2,Saturday
6/25/2023,2023,Jun,Q2,Sunday
6/26/2023,2023,Jun,Q2,Monday
6/27/2023,2023,Jun,Q2,Tuesday
6/28/2023,2023,Jun,Q2,Wednesday
6/29/2023,2023,Jun,Q2,Thursday
6/30/2023,2023,Jun,Q2,Friday
7/1/2023,2023,Jul,Q3,Saturday
7/2/2023,2023,Jul,Q3,Sunday
7/3/2023,2023,Jul,Q3,Monday
7/4/2023,2023,Jul,Q3,Tuesday
7/5/2023,2023,Jul,Q3,Wednesday
7/6/2023,2023,Jul,Q3,Thursday
7/7/2023,2023,Jul,Q3,Friday
7/8/2023,2023,Jul,Q3,Saturday
7/9/2023,2023,Jul,Q3,Sunday
7/10/2023,2023,Jul,Q3,Monday
7/11/2023,2023,Jul,Q3,Tuesday
7/12/2023,2023,Jul,Q3,Wednesday
7/13/2023,2023,Jul,Q3,Thursday
7/14/2023,2023,Jul,Q3,Friday
7/15/2023,2023,Jul,Q3,Saturday
7/16/2023,2023,Jul,Q3,Sunday
7/17/2023,2023,Jul,Q3,Monday
7/18/2023,2023,Jul,Q3,Tuesday
7/19/2023,2023,Jul,Q3,Wednesday
7/20/2023,2023,Jul,Q3,Thursday
7/21/2023,2023,Jul,Q3,Friday
7/22/2023,2023,Jul,Q3,Saturday
7/23/2023,2023,Jul,Q3,Sunday
7/24/2023,2023,Jul,Q3,Monday
7/25/2023,2023,Jul,Q3,Tuesday
7/26/2023,2023,Jul,Q3,Wednesday
7/27/2023,2023,Jul,Q3,Thursday
7/28/2023,2023,Jul,Q3,Friday
7/29/2023,2023,Jul,Q3,Saturday
7/30/2023,2023,Jul,Q3,Sunday
7/31/2023,2023,Jul,Q3,Monday
8/1/2023,2023,Aug,Q3,Tuesday
8/2/2023,2023,Aug,Q3,Wednesday
8/3/2023,2023,Aug,Q3,Thursday
8/4/2023,2023,Aug,Q3,Friday
8/5/2023,2023,Aug,Q3,Saturday
8/6/2023,2023,Aug,Q3,Sunday
8/7/2023,2023,Aug,Q3,Monday
8/8/2023,2023,Aug,Q3,Tuesday
8/9/2023,2023,Aug,Q3,Wednesday
8/10/2023,2023,Aug,Q3,Thursday
8/11/2023,2023,Aug,Q3,Friday
8/12/2023,2023,Aug,Q3,Saturday
8/13/2023,2023,Aug,Q3,Sunday
8/14/2023,2023,Aug,Q3,Monday
8/15/2023,2023,Aug,Q3,Tuesday
8/16/2023,2023,Aug,Q3,Wednesday
8/17/2023,2023,Aug,Q3,Thursday
8/18/2023,2023,Aug,Q3,Friday
8/19/2023,2023,Aug,Q3,Saturday
8/20/2023,2023,Aug,Q3,Sunday
8/21/2023,2023,Aug,Q3,Monday
8/22/2023,2023,Aug,Q3,Tuesday
8/23/2023,2023,Aug,Q3,Wednesday
8/24/2023,2023,Aug,Q3,Thursday
8/25/2023,2023,Aug,Q3,Friday
8/26/2023,2023,Aug,Q3,Saturday
8/27/2023,2023,Aug,Q3,Sunday
8/28/2023,2023,Aug,Q3,Monday
8/29/2023,2023,Aug,Q3,Tuesday
8/30/2023,2023,Aug,Q3,Wednesday
8/31/2023,2023,Aug,Q3,Thursday
9/1/2023,2023,Sep,Q3,Friday
9/2/2023,2023,Sep,Q3,Saturday
9/3/2023,2023,Sep,Q3,Sunday
9/4/2023,2023,Sep,Q3,Monday
9/5/2023,2023,Sep,Q3,Tuesday
9/6/2023,2023,Sep,Q3,Wednesday
9/7/2023,2023,Sep,Q3,Thursday
9/8/2023,2023,Sep,Q3,Friday
9/9/2023,2023,Sep,Q3,Saturday
9/10/2023,2023,Sep,Q3,Sunday
9/11/2023,2023,Sep,Q3,Monday
9/12/2023,2023,Sep,Q3,Tuesday
9/13/2023,2023,Sep,Q3,Wednesday
9/14/2023,2023,Sep,Q3,Thursday
9/15/2023,2023,Sep,Q3,Friday
9/16/2023,2023,Sep,Q3,Saturday
9/17/2023,2023,Sep,Q3,Sunday
9/18/2023,2023,Sep,Q3,Monday
9/19/2023,2023,Sep,Q3,Tuesday
9/20/2023,2023,Sep,Q3,Wednesday
9/21/2023,2023,Sep,Q3,Thursday
9/22/2023,2023,Sep,Q3,Friday
9/23/2023,2023,Sep,Q3,Saturday
9/24/2023,2023,Sep,Q3,Sunday
9/25/2023,2023,Sep,Q3,Monday
9/26/2023,2023,Sep,Q3,Tuesday
9/27/2023,2023,Sep,Q3,Wednesday
9/28/2023,2023,Sep,Q3,Thursday
9/29/2023,2023,Sep,Q3,Friday
9/30/2023,2023,Sep,Q3,Saturday
10/1/2023,2023,Oct,Q4,Sunday
10/2/2023,2023,Oct,Q4,Monday
10/3/2023,2023,Oct,Q4,Tuesday
10/4/2023,2023,Oct,Q4,Wednesday
10/5/2023,2023,Oct,Q4,Thursday
10/6/2023,2023,Oct,Q4,Friday
10/7/2023,2023,Oct,Q4,Saturday
10/8/2023,2023,Oct,Q4,Sunday
10/9/2023,2023,Oct,Q4,Monday
10/10/2023,2023,Oct,Q4,Tuesday
10/11/2023,2023,Oct,Q4,Wednesday
10/12/2023,2023,Oct,Q4,Thursday
10/13/2023,2023,Oct,Q4,Friday
10/14/2023,2023,Oct,Q4,Saturday
10/15/2023,2023,Oct,Q4,Sunday
10/16/2023,2023,Oct,Q4,Monday
10/17/2023,2023,Oct,Q4,Tuesday
10/18/2023,2023,Oct,Q4,Wednesday
10/19/2023,2023,Oct,Q4,Thursday
10/20/2023,2023,Oct,Q4,Friday
10/21/2023,2023,Oct,Q4,Saturday
10/22/2023,2023,Oct,Q4,Sunday
10/23/2023,2023,Oct,Q4,Monday
10/24/2023,2023,Oct,Q4,Tuesday
10/25/2023,2023,Oct,Q4,Wednesday
10/26/2023,2023,Oct,Q4,Thursday
10/27/2023,2023,Oct,Q4,Friday
10/28/2023,2023,Oct,Q4,Saturday
10/29/2023,2023,Oct,Q4,Sunday
10/30/2023,2023,Oct,Q4,Monday
10/31/2023,2023,Oct,Q4,Tuesday
11/1/2023,2023,Nov,Q4,Wednesday
11/2/2023,2023,Nov,Q4,Thursday
11/3/2023,2023,Nov,Q4,Friday
11/4/2023,2023,Nov,Q4,Saturday
11/5/2023,2023,Nov,Q4,Sunday
11/6/2023,2023,Nov,Q4,Monday
11/7/2023,2023,Nov,Q4,Tuesday
11/8/2023,2023,Nov,Q4,Wednesday
11/9/2023,2023,Nov,Q4,Thursday
11/10/2023,2023,Nov,Q4,Friday
11/11/2023,2023,Nov,Q4,Saturday
11/12/2023,2023,Nov,Q4,Sunday
11/13/2023,2023,Nov,Q4,Monday
11/14/2023,2023,Nov,Q4,Tuesday
11/15/2023,2023,Nov,Q4,Wednesday
11/16/2023,2023,Nov,Q4,Thursday
11/17/2023,2023,Nov,Q4,Friday
11/18/2023,2023,Nov,Q4,Saturday
11/19/2023,2023,Nov,Q4,Sunday
11/20/2023,2023,Nov,Q4,Monday
11/21/2023,2023,Nov,Q4,Tuesday
11/22/2023,2023,Nov,Q4,Wednesday
11/23/2023,2023,Nov,Q4,Thursday
11/24/2023,2023,Nov,Q4,Friday
11/25/2023,2023,Nov,Q4,Saturday
11/26/2023,2023,Nov,Q4,Sunday
11/27/2023,2023,Nov,Q4,Monday
11/28/2023,2023,Nov,Q4,Tuesday
11/29/2023,2023,Nov,Q4,Wednesday
11/30/2023,2023,Nov,Q4,Thursday
12/1/2023,2023,Dec,Q4,Friday
12/2/2023,2023,Dec,Q4,Saturday
12/3/2023,2023,Dec,Q4,Sunday
12/4/2023,2023,Dec,Q4,Monday
12/5/2023,2023,Dec,Q4,Tuesday
12/6/2023,2023,Dec,Q4,Wednesday
12/7/2023,2023,Dec,Q4,Thursday
12/8/2023,2023,Dec,Q4,Friday
12/9/2023,2023,Dec,Q4,Saturday
12/10/2023,2023,Dec,Q4,Sunday
12/11/2023,2023,Dec,Q4,Monday
12/12/2023,2023,Dec,Q4,Tuesday
12/13/2023,2023,Dec,Q4,Wednesday
12/14/2023,2023,Dec,Q4,Thursday
12/15/2023,2023,Dec,Q4,Friday
12/16/2023,2023,Dec,Q4,Saturday
12/17/2023,2023,Dec,Q4,Sunday
12/18/2023,2023,Dec,Q4,Monday
12/19/2023,2023,Dec,Q4,Tuesday
12/20/2023,2023,Dec,Q4,Wednesday
12/21/2023,2023,Dec,Q4,Thursday
12/22/2023,2023,Dec,Q4,Friday
12/23/2023,2023,Dec,Q4,Saturday
12/24/2023,2023,Dec,Q4,Sunday
12/25/2023,2023,Dec,Q4,Monday
12/26/2023,2023,Dec,Q4,Tuesday
12/27/2023,2023,Dec,Q4,Wednesday
12/28/2023,2023,Dec,Q4,Thursday
12/29/2023,2023,Dec,Q4,Friday
12/30/2023,2023,Dec,Q4,Saturday
12/31/2023,2023,Dec,Q4,Sunday
1/1/2024,2024,Jan,Q1,Monday
1/2/2024,2024,Jan,Q1,Tuesday
1/3/2024,2024,Jan,Q1,Wednesday
1/4/2024,2024,Jan,Q1,Thursday
1/5/2024,2024,Jan,Q1,Friday
1/6/2024,2024,Jan,Q1,Saturday
1/7/2024,2024,Jan,Q1,Sunday
1/8/2024,2024,Jan,Q1,Monday
1/9/2024,2024,Jan,Q1,Tuesday
1/10/2024,2024,Jan,Q1,Wednesday
1/11/2024,2024,Jan,Q1,Thursday
1/12/2024,2024,Jan,Q1,Friday
1/13/2024,2024,Jan,Q1,Saturday
1/14/2024,2024,Jan,Q1,Sunday
1/15/2024,2024,Jan,Q1,Monday
1/16/2024,2024,Jan,Q1,Tuesday
1/17/2024,2024,Jan,Q1,Wednesday
1/18/2024,2024,Jan,Q1,Thursday
1/19/2024,2024,Jan,Q1,Friday
1/20/2024,2024,Jan,Q1,Saturday
1/21/2024,2024,Jan,Q1,Sunday
1/22/2024,2024,Jan,Q1,Monday
1/23/2024,2024,Jan,Q1,Tuesday
1/24/2024,2024,Jan,Q1,Wednesday
1/25/2024,2024,Jan,Q1,Thursday
1/26/2024,2024,Jan,Q1,Friday
1/27/2024,2024,Jan,Q1,Saturday
1/28/2024,2024,Jan,Q1,Sunday
1/29/2024,2024,Jan,Q1,Monday
1/30/2024,2024,Jan,Q1,Tuesday
1/31/2024,2024,Jan,Q1,Wednesday
2/1/2024,2024,Feb,Q1,Thursday
2/2/2024,2024,Feb,Q1,Friday
2/3/2024,2024,Feb,Q1,Saturday
2/4/2024,2024,Feb,Q1,Sunday
2/5/2024,2024,Feb,Q1,Monday
2/6/2024,2024,Feb,Q1,Tuesday
2/7/2024,2024,Feb,Q1,Wednesday
2/8/2024,2024,Feb,Q1,Thursday
2/9/2024,2024,Feb,Q1,Friday
2/10/2024,2024,Feb,Q1,Saturday
2/11/2024,2024,Feb,Q1,Sunday
2/12/2024,2024,Feb,Q1,Monday
2/13/2024,2024,Feb,Q1,Tuesday
2/14/2024,2024,Feb,Q1,Wednesday
2/15/2024,2024,Feb,Q1,Thursday
2/16/2024,2024,Feb,Q1,Friday
2/17/2024,2024,Feb,Q1,Saturday
2/18/2024,2024,Feb,Q1,Sunday
2/19/2024,2024,Feb,Q1,Monday
2/20/2024,2024,Feb,Q1,Tuesday
2/21/2024,2024,Feb,Q1,Wednesday
2/22/2024,2024,Feb,Q1,Thursday
2/23/2024,2024,Feb,Q1,Friday
2/24/2024,2024,Feb,Q1,Saturday
2/25/2024,2024,Feb,Q1,Sunday
2/26/2024,2024,Feb,Q1,Monday
2/27/2024,2024,Feb,Q1,Tuesday
2/28/2024,2024,Feb,Q1,Wednesday
2/29/2024,2024,Feb,Q1,Thursday
3/1/2024,2024,Mar,Q1,Friday
3/2/2024,2024,Mar,Q1,Saturday
3/3/2024,2024,Mar,Q1,Sunday
3/4/2024,2024,Mar,Q1,Monday
3/5/2024,2024,Mar,Q1,Tuesday
3/6/2024,2024,Mar,Q1,Wednesday
3/7/2024,2024,Mar,Q1,Thursday
3/8/2024,2024,Mar,Q1,Friday
3/9/2024,2024,Mar,Q1,Saturday
3/10/2024,2024,Mar,Q1,Sunday
3/11/2024,2024,Mar,Q1,Monday
3/12/2024,2024,Mar,Q1,Tuesday
3/13/2024,2024,Mar,Q1,Wednesday
3/14/2024,2024,Mar,Q1,Thursday
3/15/2024,2024,Mar,Q1,Friday
3/16/2024,2024,Mar,Q1,Saturday
3/17/2024,2024,Mar,Q1,Sunday
3/18/2024,2024,Mar,Q1,Monday
3/19/2024,2024,Mar,Q1,Tuesday
3/20/2024,2024,Mar,Q1,Wednesday
3/21/2024,2024,Mar,Q1,Thursday
3/22/2024,2024,Mar,Q1,Friday
3/23/2024,2024,Mar,Q1,Saturday
3/24/2024,2024,Mar,Q1,Sunday
3/25/2024,2024,Mar,Q1,Monday
3/26/2024,2024,Mar,Q1,Tuesday
3/27/2024,2024,Mar,Q1,Wednesday
3/28/2024,2024,Mar,Q1,Thursday
3/29/2024,2024,Mar,Q1,Friday
3/30/2024,2024,Mar,Q1,Saturday
3/31/2024,2024,Mar,Q1,Sunday
4/1/2024,2024,Apr,Q2,Monday
4/2/2024,2024,Apr,Q2,Tuesday
4/3/2024,2024,Apr,Q2,Wednesday
4/4/2024,2024,Apr,Q2,Thursday
4/5/2024,2024,Apr,Q2,Friday
4/6/2024,2024,Apr,Q2,Saturday
4/7/2024,2024,Apr,Q2,Sunday
4/8/2024,2024,Apr,Q2,Monday
4/9/2024,2024,Apr,Q2,Tuesday
4/10/2024,2024,Apr,Q2,Wednesday
4/11/2024,2024,Apr,Q2,Thursday
4/12/2024,2024,Apr,Q2,Friday
4/13/2024,2024,Apr,Q2,Saturday
4/14/2024,2024,Apr,Q2,Sunday
4/15/2024,2024,Apr,Q2,Monday
4/16/2024,2024,Apr,Q2,Tuesday
4/17/2024,2024,Apr,Q2,Wednesday
4/18/2024,2024,Apr,Q2,Thursday
4/19/2024,2024,Apr,Q2,Friday
4/20/2024,2024,Apr,Q2,Saturday
4/21/2024,2024,Apr,Q2,Sunday
4/22/2024,2024,Apr,Q2,Monday
4/23/2024,2024,Apr,Q2,Tuesday
4/24/2024,2024,Apr,Q2,Wednesday
4/25/2024,2024,Apr,Q2,Thursday
4/26/2024,2024,Apr,Q2,Friday
4/27/2024,2024,Apr,Q2,Saturday
4/28/2024,2024,Apr,Q2,Sunday
4/29/2024,2024,Apr,Q2,Monday
4/30/2024,2024,Apr,Q2,Tuesday
5/1/2024,2024,May,Q2,Wednesday
5/2/2024,2024,May,Q2,Thursday
5/3/2024,2024,May,Q2,Friday
5/4/2024,2024,May,Q2,Saturday
5/5/2024,2024,May,Q2,Sunday
5/6/2024,2024,May,Q2,Monday
5/7/2024,2024,May,Q2,Tuesday
5/8/2024,2024,May,Q2,Wednesday
5/9/2024,2024,May,Q2,Thursday
5/10/2024,2024,May,Q2,Friday
5/11/2024,2024,May,Q2,Saturday
5/12/2024,2024,May,Q2,Sunday
5/13/2024,2024,May,Q2,Monday
5/14/2024,2024,May,Q2,Tuesday
5/15/2024,2024,May,Q2,Wednesday
5/16/2024,2024,May,Q2,Thursday
5/17/2024,2024,May,Q2,Friday
5/18/2024,2024,May,Q2,Saturday
5/19/2024,2024,May,Q2,Sunday
5/20/2024,2024,May,Q2,Monday
5/21/2024,2024,May,Q2,Tuesday
5/22/2024,2024,May,Q2,Wednesday
5/23/2024,2024,May,Q2,Thursday
5/24/2024,2024,May,Q2,Friday
5/25/2024,2024,May,Q2,Saturday
5/26/2024,2024,May,Q2,Sunday
5/27/2024,2024,May,Q2,Monday
5/28/2024,2024,May,Q2,Tuesday
5/29/2024,2024,May,Q2,Wednesday
5/30/2024,2024,May,Q2,Thursday
5/31/2024,2024,May,Q2,Friday
6/1/2024,2024,Jun,Q2,Saturday
6/2/2024,2024,Jun,Q2,Sunday
6/3/2024,2024,Jun,Q2,Monday
6/4/2024,2024,Jun,Q2,Tuesday
6/5/2024,2024,Jun,Q2,Wednesday
6/6/2024,2024,Jun,Q2,Thursday
6/7/2024,2024,Jun,Q2,Friday
6/8/2024,2024,Jun,Q2,Saturday
6/9/2024,2024,Jun,Q2,Sunday
6/10/2024,2024,Jun,Q2,Monday
6/11/2024,2024,Jun,Q2,Tuesday
6/12/2024,2024,Jun,Q2,Wednesday
6/13/2024,2024,Jun,Q2,Thursday
6/14/2024,2024,Jun,Q2,Friday
6/15/2024,2024,Jun,Q2,Saturday
6/16/2024,2024,Jun,Q2,Sunday
6/17/2024,2024,Jun,Q2,Monday
6/18/2024,2024,Jun,Q2,Tuesday
6/19/2024,2024,Jun,Q2,Wednesday
6/20/2024,2024,Jun,Q2,Thursday
6/21/2024,2024,Jun,Q2,Friday
6/22/2024,2024,Jun,Q2,Saturday
6/23/2024,2024,Jun,Q2,Sunday
6/24/2024,2024,Jun,Q2,Monday
6/25/2024,2024,Jun,Q2,Tuesday
6/26/2024,2024,Jun,Q2,Wednesday
6/27/2024,2024,Jun,Q2,Thursday
6/28/2024,2024,Jun,Q2,Friday
6/29/2024,2024,Jun,Q2,Saturday
6/30/2024,2024,Jun,Q2,Sunday
7/1/2024,2024,Jul,Q3,Monday
7/2/2024,2024,Jul,Q3,Tuesday
7/3/2024,2024,Jul,Q3,Wednesday
7/4/2024,2024,Jul,Q3,Thursday
7/5/2024,2024,Jul,Q3,Friday
7/6/2024,2024,Jul,Q3,Saturday
7/7/2024,2024,Jul,Q3,Sunday
7/8/2024,2024,Jul,Q3,Monday
7/9/2024,2024,Jul,Q3,Tuesday
7/10/2024,2024,Jul,Q3,Wednesday
7/11/2024,2024,Jul,Q3,Thursday
7/12/2024,2024,Jul,Q3,Friday
7/13/2024,2024,Jul,Q3,Saturday
7/14/2024,2024,Jul,Q3,Sunday
7/15/2024,2024,Jul,Q3,Monday
7/16/2024,2024,Jul,Q3,Tuesday
7/17/2024,2024,Jul,Q3,Wednesday
7/18/2024,2024,Jul,Q3,Thursday
7/19/2024,2024,Jul,Q3,Friday
7/20/2024,2024,Jul,Q3,Saturday
7/21/2024,2024,Jul,Q3,Sunday
7/22/2024,2024,Jul,Q3,Monday
7/23/2024,2024,Jul,Q3,Tuesday
7/24/2024,2024,Jul,Q3,Wednesday
7/25/2024,2024,Jul,Q3,Thursday
7/26/2024,2024,Jul,Q3,Friday
7/27/2024,2024,Jul,Q3,Saturday
7/28/2024,2024,Jul,Q3,Sunday
7/29/2024,2024,Jul,Q3,Monday
7/30/2024,2024,Jul,Q3,Tuesday
7/31/2024,2024,Jul,Q3,Wednesday
8/1/2024,2024,Aug,Q3,Thursday
8/2/2024,2024,Aug,Q3,Friday
8/3/2024,2024,Aug,Q3,Saturday
8/4/2024,2024,Aug,Q3,Sunday
8/5/2024,2024,Aug,Q3,Monday
8/6/2024,2024,Aug,Q3,Tuesday
8/7/2024,2024,Aug,Q3,Wednesday
8/8/2024,2024,Aug,Q3,Thursday
8/9/2024,2024,Aug,Q3,Friday
8/10/2024,2024,Aug,Q3,Saturday
8/11/2024,2024,Aug,Q3,Sunday
8/12/2024,2024,Aug,Q3,Monday
8/13/2024,2024,Aug,Q3,Tuesday
8/14/2024,2024,Aug,Q3,Wednesday
8/15/2024,2024,Aug,Q3,Thursday
8/16/2024,2024,Aug,Q3,Friday
8/17/2024,2024,Aug,Q3,Saturday
8/18/2024,2024,Aug,Q3,Sunday
8/19/2024,2024,Aug,Q3,Monday
8/20/2024,2024,Aug,Q3,Tuesday
8/21/2024,2024,Aug,Q3,Wednesday
8/22/2024,2024,Aug,Q3,Thursday
8/23/2024,2024,Aug,Q3,Friday
8/24/2024,2024,Aug,Q3,Saturday
8/25/2024,2024,Aug,Q3,Sunday
8/26/2024,2024,Aug,Q3,Monday
8/27/2024,2024,Aug,Q3,Tuesday
8/28/2024,2024,Aug,Q3,Wednesday
8/29/2024,2024,Aug,Q3,Thursday
8/30/2024,2024,Aug,Q3,Friday
8/31/2024,2024,Aug,Q3,Saturday
9/1/2024,2024,Sep,Q3,Sunday
9/2/2024,2024,Sep,Q3,Monday
9/3/2024,2024,Sep,Q3,Tuesday
